INFO:root:server started
INFO:root:col 314 processed
INFO:root:delegating col 315
INFO:root:col 315 processed
INFO:root:delegating col 316
INFO:root:col 316 processed
INFO:root:delegating col 317
INFO:root:col 317 processed
INFO:root:delegating col 318
INFO:root:col 318 processed
INFO:root:delegating col 319
INFO:root:col 319 processed
INFO:root:delegating col 320
INFO:root:col 320 processed
INFO:root:delegating col 321
INFO:root:col 321 processed
INFO:root:delegating col 322
INFO:root:col 322 processed
INFO:root:delegating col 323
INFO:root:col 323 processed
INFO:root:delegating col 324
INFO:root:col 324 processed
INFO:root:delegating col 325
INFO:root:col 325 processed
INFO:root:delegating col 326
INFO:root:col 326 processed
INFO:root:delegating col 327
INFO:root:col 327 processed
INFO:root:delegating col 328
INFO:root:col 328 processed
INFO:root:delegating col 329
INFO:root:col 329 processed
INFO:root:delegating col 330
INFO:root:col 330 processed
INFO:root:delegating col 331
INFO:root:col 331 processed
INFO:root:delegating col 332
INFO:root:col 332 processed
INFO:root:delegating col 333
INFO:root:col 333 processed
INFO:root:delegating col 334
INFO:root:col 334 processed
INFO:root:delegating col 335
INFO:root:col 335 processed
INFO:root:delegating col 336
INFO:root:col 336 processed
INFO:root:delegating col 337
INFO:root:col 337 processed
INFO:root:delegating col 338
INFO:root:col 338 processed
INFO:root:delegating col 339
INFO:root:col 339 processed
INFO:root:delegating col 340
INFO:root:col 340 processed
INFO:root:delegating col 341
INFO:root:col 341 processed
INFO:root:delegating col 342
INFO:root:col 342 processed
INFO:root:delegating col 343
INFO:root:col 343 processed
INFO:root:delegating col 344
INFO:root:col 344 processed
INFO:root:delegating col 345
INFO:root:col 345 processed
INFO:root:delegating col 346
INFO:root:col 346 processed
INFO:root:delegating col 347
INFO:root:col 347 processed
INFO:root:delegating col 348
INFO:root:col 348 processed
INFO:root:delegating col 349
INFO:root:col 349 processed
INFO:root:delegating col 350
INFO:root:col 350 processed
INFO:root:delegating col 351
INFO:root:col 351 processed
INFO:root:delegating col 352
INFO:root:col 352 processed
INFO:root:delegating col 353
INFO:root:col 353 processed
INFO:root:delegating col 354
INFO:root:col 354 processed
INFO:root:delegating col 355
INFO:root:col 355 processed
INFO:root:delegating col 356
INFO:root:col 356 processed
INFO:root:delegating col 357
INFO:root:col 357 processed
INFO:root:delegating col 358
INFO:root:col 358 processed
INFO:root:delegating col 359
INFO:root:col 359 processed
INFO:root:delegating col 360
INFO:root:col 360 processed
INFO:root:delegating col 361
INFO:root:col 361 processed
INFO:root:delegating col 362
INFO:root:col 362 processed
INFO:root:delegating col 363
INFO:root:col 363 processed
INFO:root:delegating col 364
INFO:root:col 364 processed
INFO:root:delegating col 365
INFO:root:col 365 processed
INFO:root:delegating col 366
INFO:root:col 366 processed
INFO:root:delegating col 367
INFO:root:col 367 processed
INFO:root:delegating col 368
INFO:root:col 368 processed
INFO:root:delegating col 369
INFO:root:col 369 processed
INFO:root:delegating col 370
INFO:root:col 370 processed
INFO:root:delegating col 371
INFO:root:col 371 processed
INFO:root:delegating col 372
INFO:root:col 372 processed
INFO:root:delegating col 373
INFO:root:col 373 processed
INFO:root:delegating col 374
INFO:root:col 374 processed
INFO:root:delegating col 375
INFO:root:col 375 processed
INFO:root:delegating col 376
INFO:root:col 376 processed
INFO:root:delegating col 377
INFO:root:col 377 processed
INFO:root:delegating col 378
INFO:root:col 378 processed
INFO:root:delegating col 379
INFO:root:col 379 processed
INFO:root:delegating col 380
INFO:root:col 380 processed
INFO:root:delegating col 381
INFO:root:col 381 processed
INFO:root:delegating col 382
INFO:root:col 382 processed
INFO:root:delegating col 383
INFO:root:col 383 processed
INFO:root:delegating col 384
INFO:root:col 384 processed
INFO:root:delegating col 385
INFO:root:col 385 processed
INFO:root:delegating col 386
INFO:root:col 386 processed
INFO:root:delegating col 387
INFO:root:col 387 processed
INFO:root:delegating col 388
INFO:root:col 388 processed
INFO:root:delegating col 389
INFO:root:col 389 processed
INFO:root:delegating col 390
INFO:root:col 390 processed
INFO:root:delegating col 391
INFO:root:col 391 processed
INFO:root:delegating col 392
INFO:root:col 392 processed
INFO:root:delegating col 393
INFO:root:col 393 processed
INFO:root:delegating col 394
INFO:root:col 394 processed
INFO:root:delegating col 395
INFO:root:col 395 processed
INFO:root:delegating col 396
INFO:root:col 396 processed
INFO:root:delegating col 397
INFO:root:col 397 processed
INFO:root:delegating col 398
INFO:root:col 398 processed
INFO:root:delegating col 399
INFO:root:col 399 processed
INFO:root:delegating col 400
INFO:root:col 400 processed
INFO:root:delegating col 401
INFO:root:col 401 processed
INFO:root:delegating col 402
INFO:root:col 402 processed
INFO:root:delegating col 403
INFO:root:col 403 processed
INFO:root:delegating col 404
INFO:root:col 404 processed
INFO:root:delegating col 405
INFO:root:col 405 processed
INFO:root:delegating col 406
INFO:root:col 406 processed
INFO:root:delegating col 407
INFO:root:col 407 processed
